match_number,date_local,fixture_kickoff_utc,kickoff_utc,kickoff_beijing,stage,stage_cn,group,home_team,away_team,stadium,host_city,status,status_state,completed,home_score,away_score,attendance,espn_event_id,espn_summary_url,espn_stats_url,fixture_url,time_discrepancy_note,source
37,2026-06-21,2026-06-21T22:00:00Z,2026-06-21T22:00:00Z,2026-06-22T06:00+08:00,group-stage,小组赛,H,Uruguay,Cabo Verde,Hard Rock Stadium,miami,Scheduled,pre,False,0,0,0,760450,https://www.espn.com/soccer/match/_/gameId/760450/cape-verde-uruguay,https://www.espn.com/soccer/matchstats/_/gameId/760450,https://www.thestatsapi.com/world-cup/matches/uruguay-vs-cabo-verde-2026-06-21,,TheStatsAPI fixtures + ESPN scoreboard
38,2026-06-21,2026-06-21T16:00:00Z,2026-06-21T16:00:00Z,2026-06-22T00:00+08:00,group-stage,小组赛,H,Spain,Saudi Arabia,Mercedes-Benz Stadium,atlanta,Scheduled,pre,False,0,0,0,760453,https://www.espn.com/soccer/match/_/gameId/760453/saudi-arabia-spain,https://www.espn.com/soccer/matchstats/_/gameId/760453,https://www.thestatsapi.com/world-cup/matches/spain-vs-saudi-arabia-2026-06-21,,TheStatsAPI fixtures + ESPN scoreboard
39,2026-06-21,2026-06-21T19:00:00Z,2026-06-21T19:00:00Z,2026-06-22T03:00+08:00,group-stage,小组赛,G,Belgium,IR Iran,SoFi Stadium,los-angeles,Scheduled,pre,False,0,0,0,760451,https://www.espn.com/soccer/match/_/gameId/760451/iran-belgium,https://www.espn.com/soccer/matchstats/_/gameId/760451,https://www.thestatsapi.com/world-cup/matches/belgium-vs-ir-iran-2026-06-21,,TheStatsAPI fixtures + ESPN scoreboard
40,2026-06-21,2026-06-22T01:00:00Z,2026-06-22T01:00:00Z,2026-06-22T09:00+08:00,group-stage,小组赛,G,New Zealand,Egypt,BC Place,vancouver,Scheduled,pre,False,0,0,0,760452,https://www.espn.com/soccer/match/_/gameId/760452/egypt-new-zealand,https://www.espn.com/soccer/matchstats/_/gameId/760452,https://www.thestatsapi.com/world-cup/matches/new-zealand-vs-egypt-2026-06-21,,TheStatsAPI fixtures + ESPN scoreboard
41,2026-06-22,2026-06-23T00:00:00Z,2026-06-23T00:00:00Z,2026-06-23T08:00+08:00,group-stage,小组赛,I,Norway,Senegal,MetLife Stadium,new-york,Scheduled,pre,False,0,0,0,760454,https://www.espn.com/soccer/match/_/gameId/760454/senegal-norway,https://www.espn.com/soccer/matchstats/_/gameId/760454,https://www.thestatsapi.com/world-cup/matches/norway-vs-senegal-2026-06-22,,TheStatsAPI fixtures + ESPN scoreboard
42,2026-06-22,2026-06-22T21:00:00Z,2026-06-22T21:00:00Z,2026-06-23T05:00+08:00,group-stage,小组赛,I,France,Iraq,Lincoln Financial Field,philadelphia,Scheduled,pre,False,0,0,0,760457,https://www.espn.com/soccer/match/_/gameId/760457/iraq-france,https://www.espn.com/soccer/matchstats/_/gameId/760457,https://www.thestatsapi.com/world-cup/matches/france-vs-iraq-2026-06-22,,TheStatsAPI fixtures + ESPN scoreboard
43,2026-06-22,2026-06-22T17:00:00Z,2026-06-22T17:00:00Z,2026-06-23T01:00+08:00,group-stage,小组赛,J,Argentina,Austria,AT&T Stadium,dallas,Scheduled,pre,False,0,0,0,760456,https://www.espn.com/soccer/match/_/gameId/760456/austria-argentina,https://www.espn.com/soccer/matchstats/_/gameId/760456,https://www.thestatsapi.com/world-cup/matches/argentina-vs-austria-2026-06-22,,TheStatsAPI fixtures + ESPN scoreboard
44,2026-06-22,2026-06-23T03:00:00Z,2026-06-23T03:00:00Z,2026-06-23T11:00+08:00,group-stage,小组赛,J,Jordan,Algeria,Levi's Stadium,san-francisco,Scheduled,pre,False,0,0,0,760455,https://www.espn.com/soccer/match/_/gameId/760455/algeria-jordan,https://www.espn.com/soccer/matchstats/_/gameId/760455,https://www.thestatsapi.com/world-cup/matches/jordan-vs-algeria-2026-06-22,,TheStatsAPI fixtures + ESPN scoreboard
45,2026-06-23,2026-06-23T20:00:00Z,2026-06-23T20:00:00Z,2026-06-24T04:00+08:00,group-stage,小组赛,L,England,Ghana,Gillette Stadium,boston,Scheduled,pre,False,0,0,0,760458,https://www.espn.com/soccer/match/_/gameId/760458/ghana-england,https://www.espn.com/soccer/matchstats/_/gameId/760458,https://www.thestatsapi.com/world-cup/matches/england-vs-ghana-2026-06-23,,TheStatsAPI fixtures + ESPN scoreboard
46,2026-06-23,2026-06-23T23:00:00Z,2026-06-23T23:00:00Z,2026-06-24T07:00+08:00,group-stage,小组赛,L,Panama,Croatia,BMO Field,toronto,Scheduled,pre,False,0,0,0,760460,https://www.espn.com/soccer/match/_/gameId/760460/croatia-panama,https://www.espn.com/soccer/matchstats/_/gameId/760460,https://www.thestatsapi.com/world-cup/matches/panama-vs-croatia-2026-06-23,,TheStatsAPI fixtures + ESPN scoreboard
